,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental
7794,468,TAMPINES ST 44,4,1985,Y,N,N,N,N,N,TAP,24,0,0,16,8,0,0,0,0,0,0,0,0
7815,469,TAMPINES ST 44,12,1985,Y,N,N,Y,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
7851,470,TAMPINES ST 44,12,1985,Y,Y,N,Y,N,N,TAP,88,0,0,0,48,40,0,0,0,0,0,0,0
7869,471,TAMPINES ST 44,4,1985,Y,N,N,N,N,N,TAP,40,0,0,0,0,0,0,0,0,25,15,0,0
7886,472,TAMPINES ST 44,4,1988,Y,Y,N,N,N,N,TAP,14,0,0,0,2,0,12,0,0,0,0,0,0
7900,473,TAMPINES ST 43,2,1989,N,Y,N,Y,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
7916,474,TAMPINES ST 43,4,1988,Y,Y,N,N,N,N,TAP,14,0,0,0,2,0,12,0,0,0,0,0,0
7925,475,TAMPINES ST 44,4,1989,N,Y,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
7940,476,TAMPINES ST 44,4,1988,Y,Y,N,N,N,N,TAP,28,0,0,1,7,8,12,0,0,0,0,0,0
7962,477,TAMPINES ST 43,4,1988,Y,Y,N,N,N,N,TAP,28,0,0,1,7,8,12,0,0,0,0,0,0
7975,478,TAMPINES ST 44,1,1988,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
7985,479,TAMPINES ST 44,4,1988,Y,Y,N,Y,N,N,TAP,11,0,0,1,0,5,5,0,0,0,0,0,0
8013,480,TAMPINES ST 44,4,1988,Y,Y,N,Y,N,N,TAP,15,0,0,0,0,6,9,0,0,0,0,0,0
8020,481,TAMPINES ST 44,4,1988,Y,Y,N,N,N,N,TAP,8,0,0,0,4,4,0,0,0,0,0,0,0
8029,482,TAMPINES ST 43,4,1988,Y,Y,N,N,N,N,TAP,8,0,0,0,4,4,0,0,0,0,0,0,0
8041,483,TAMPINES ST 43,4,1988,Y,Y,N,Y,N,N,TAP,11,0,0,1,0,5,5,0,0,0,0,0,0
8051,484,TAMPINES ST 43,4,1988,Y,Y,N,N,N,N,TAP,15,0,0,0,0,6,9,0,0,0,0,0,0
8064,485A,TAMPINES AVE 9,12,1992,Y,N,N,N,N,N,TAP,44,0,0,0,0,44,0,0,0,0,0,0,0
8066,485B,TAMPINES AVE 9,12,1988,Y,N,N,Y,N,N,TAP,110,0,0,0,70,40,0,0,0,0,0,0,0
8075,486A,TAMPINES AVE 9,12,1993,Y,N,N,N,N,N,TAP,88,0,0,0,0,88,0,0,0,0,0,0,0
8077,486B,TAMPINES AVE 9,12,1993,Y,N,N,N,N,N,TAP,99,0,0,0,55,44,0,0,0,0,0,0,0
8078,486C,TAMPINES AVE 9,12,1993,Y,N,N,N,N,N,TAP,77,0,0,0,55,22,0,0,0,0,0,0,0
8086,487A,TAMPINES AVE 9,11,1989,Y,Y,N,N,N,N,TAP,70,0,0,0,70,0,0,0,0,0,0,0,0
8088,487B,TAMPINES ST 45,11,1989,Y,Y,N,N,N,N,TAP,90,0,0,0,90,0,0,0,0,0,0,0,0
8090,487C,TAMPINES ST 45,11,1989,Y,Y,N,Y,N,N,TAP,80,0,0,0,80,0,0,0,0,0,0,0,0
8097,488A,TAMPINES AVE 9,12,1989,Y,N,N,N,N,N,TAP,88,0,0,0,48,40,0,0,0,0,0,0,0
8099,488B,TAMPINES ST 45,11,1989,Y,Y,N,N,N,N,TAP,80,0,0,0,80,0,0,0,0,0,0,0,0
8106,489A,TAMPINES ST 45,12,1989,Y,N,N,Y,N,N,TAP,88,0,0,0,48,40,0,0,0,0,0,0,0
8108,489B,TAMPINES ST 45,12,1993,Y,N,N,N,N,N,TAP,99,0,0,0,67,32,0,0,0,0,0,0,0
8110,489C,TAMPINES ST 45,12,1989,Y,N,N,Y,N,N,TAP,110,0,0,0,70,40,0,0,0,0,0,0,0
8133,490A,TAMPINES ST 45,12,1993,Y,N,N,N,N,N,TAP,77,0,0,0,55,22,0,0,0,0,0,0,0
8135,490B,TAMPINES ST 45,12,1993,Y,N,N,N,N,N,TAP,66,0,0,0,0,66,0,0,0,0,0,0,0
8140,491A,TAMPINES AVE 9,13,1992,Y,N,N,N,N,N,TAP,48,0,0,0,0,48,0,0,0,0,0,0,0
8141,491B,TAMPINES AVE 9,13,1992,Y,N,N,N,N,N,TAP,62,0,0,0,26,36,0,0,0,0,0,0,0
8142,491C,TAMPINES ST 45,13,1992,Y,N,N,N,N,N,TAP,84,0,0,0,24,60,0,0,0,0,0,0,0
8143,491D,TAMPINES ST 45,13,1992,Y,Y,N,Y,N,N,TAP,84,0,0,0,12,72,0,0,0,0,0,0,0
8144,491E,TAMPINES ST 45,13,1992,Y,N,N,N,N,N,TAP,60,0,0,0,12,48,0,0,0,0,0,0,0
8145,491F,TAMPINES ST 45,13,1992,Y,N,N,N,N,N,TAP,72,0,0,0,24,48,0,0,0,0,0,0,0
8146,491G,TAMPINES ST 45,13,1992,Y,N,N,N,N,N,TAP,72,0,0,0,0,72,0,0,0,0,0,0,0
8147,491H,TAMPINES ST 45,13,1992,Y,N,N,Y,N,N,TAP,72,0,0,0,0,72,0,0,0,0,0,0,0
8150,492,TAMPINES ST 45,8,2017,N,N,N,Y,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8152,492A,TAMPINES ST 45,5,1992,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8153,492B,TAMPINES AVE 9,13,1992,Y,Y,N,N,N,N,TAP,72,0,0,0,0,72,0,0,0,0,0,0,0
8154,492C,TAMPINES ST 45,13,1992,Y,N,N,N,N,N,TAP,72,0,0,0,0,72,0,0,0,0,0,0,0
8155,492D,TAMPINES ST 45,13,1992,Y,N,N,N,N,N,TAP,60,0,0,0,12,48,0,0,0,0,0,0,0
8156,492E,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,TAP,253,0,0,0,0,0,0,0,0,154,99,0,0
8157,492F,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,TAP,198,0,0,0,0,0,0,0,0,132,66,0,0
8158,492G,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,TAP,121,0,0,77,44,0,0,0,0,0,0,0,0
8159,492H,TAMPINES ST 45,1,2018,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8160,492J,TAMPINES ST 45,1,2018,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8164,493A,TAMPINES AVE 9,13,1992,Y,N,N,N,N,N,TAP,48,0,0,0,0,48,0,0,0,0,0,0,0
8165,493B,TAMPINES AVE 9,13,1992,Y,N,N,N,N,N,TAP,62,0,0,0,26,36,0,0,0,0,0,0,0
8166,493C,TAMPINES ST 43,13,1992,Y,N,N,N,N,N,TAP,60,0,0,0,12,48,0,0,0,0,0,0,0
8167,493D,TAMPINES ST 43,13,1992,Y,N,N,N,N,N,TAP,96,0,0,0,24,72,0,0,0,0,0,0,0
8168,493E,TAMPINES ST 43,13,1992,Y,Y,N,Y,N,N,TAP,96,0,0,0,48,48,0,0,0,0,0,0,0
8170,494,TAMPINES ST 45,1,2018,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8172,494A,TAMPINES ST 43,5,1992,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8173,494B,TAMPINES AVE 9,13,1992,Y,N,N,Y,N,N,TAP,72,0,0,0,0,72,0,0,0,0,0,0,0
8174,494C,TAMPINES ST 43,13,1992,Y,N,N,N,N,N,TAP,84,0,0,0,0,84,0,0,0,0,0,0,0
8175,494D,TAMPINES ST 43,13,2014,Y,N,N,N,N,N,TAP,151,0,20,57,0,0,0,0,74,0,0,0,0
8176,494E,TAMPINES ST 43,13,2014,Y,N,N,Y,N,N,TAP,138,0,29,46,0,0,0,0,63,0,0,0,0
8177,494F,TAMPINES ST 43,6,2014,N,N,N,N,Y,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8178,494G,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,TAP,110,0,0,55,55,0,0,0,0,0,0,0,0
8179,494H,TAMPINES ST 45,12,2017,Y,N,N,Y,N,N,TAP,110,0,0,0,55,55,0,0,0,0,0,0,0
8180,494J,TAMPINES ST 45,12,2017,Y,N,N,N,N,N,TAP,110,0,0,22,44,44,0,0,0,0,0,0,0
8182,495A,TAMPINES ST 43,13,1992,Y,N,N,N,N,N,TAP,48,0,0,0,0,0,48,0,0,0,0,0,0
8183,495B,TAMPINES ST 43,13,1992,Y,N,N,N,N,N,TAP,36,0,0,0,0,0,36,0,0,0,0,0,0
8184,495C,TAMPINES ST 43,13,1992,Y,N,N,N,N,N,TAP,48,0,0,0,0,0,48,0,0,0,0,0,0
8185,495D,TAMPINES ST 43,13,1993,Y,N,N,N,N,N,TAP,48,0,0,0,0,0,48,0,0,0,0,0,0
8186,495E,TAMPINES ST 43,13,1992,Y,N,N,N,N,N,TAP,60,0,0,0,0,0,60,0,0,0,0,0,0
8187,495F,TAMPINES ST 43,13,1992,Y,N,N,N,N,N,TAP,60,0,0,0,0,0,60,0,0,0,0,0,0
8189,496A,TAMPINES ST 43,5,1992,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8190,496B,TAMPINES ST 43,13,1992,Y,N,N,N,N,N,TAP,84,0,0,0,36,48,0,0,0,0,0,0,0
8191,496C,TAMPINES ST 43,13,1992,Y,N,N,N,N,N,TAP,96,0,0,0,24,72,0,0,0,0,0,0,0
8192,496D,TAMPINES AVE 9,13,1992,Y,N,N,N,N,N,TAP,96,0,0,0,0,96,0,0,0,0,0,0,0
8193,496E,TAMPINES AVE 9,13,1992,Y,N,N,N,N,N,TAP,96,0,0,0,24,72,0,0,0,0,0,0,0
8194,496F,TAMPINES AVE 9,13,1992,Y,N,N,N,N,N,TAP,48,0,0,0,0,48,0,0,0,0,0,0,0
8195,496G,TAMPINES AVE 9,13,1992,Y,Y,N,N,N,N,TAP,84,0,0,0,60,24,0,0,0,0,0,0,0
8197,497A,TAMPINES ST 45,10,1994,Y,N,N,N,N,N,TAP,57,0,0,0,0,14,43,0,0,0,0,0,0
8198,497B,TAMPINES ST 45,10,1994,Y,N,N,N,N,N,TAP,98,0,0,0,62,36,0,0,0,0,0,0,0
8199,497C,TAMPINES ST 45,10,1994,Y,Y,N,N,N,N,TAP,98,0,0,0,62,36,0,0,0,0,0,0,0
8200,497D,TAMPINES ST 45,10,1995,Y,N,N,N,N,N,TAP,57,0,0,0,0,14,43,0,0,0,0,0,0
8201,497E,TAMPINES ST 45,3,1994,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8202,497F,TAMPINES ST 45,10,1994,Y,N,N,N,N,N,TAP,57,0,0,0,0,14,43,0,0,0,0,0,0
8203,497G,TAMPINES ST 45,10,1994,Y,N,N,N,N,N,TAP,98,0,0,0,62,36,0,0,0,0,0,0,0
8204,497H,TAMPINES ST 45,10,1994,Y,Y,N,N,N,N,TAP,98,0,0,0,62,36,0,0,0,0,0,0,0
8205,497J,TAMPINES ST 45,10,1995,Y,N,N,N,N,N,TAP,57,0,0,0,0,14,43,0,0,0,0,0,0
8206,497K,TAMPINES ST 45,3,1994,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8207,497L,TAMPINES ST 45,4,1994,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8209,498A,TAMPINES ST 45,10,1995,Y,Y,N,N,N,N,TAP,70,0,0,0,28,28,14,0,0,0,0,0,0
8210,498B,TAMPINES ST 45,10,1995,Y,N,N,N,N,N,TAP,72,0,0,0,30,28,14,0,0,0,0,0,0
8211,498C,TAMPINES ST 45,3,1995,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8212,498D,TAMPINES ST 45,10,1995,Y,N,N,N,N,N,TAP,72,0,0,0,30,28,14,0,0,0,0,0,0
8213,498E,TAMPINES ST 45,10,1995,Y,N,N,N,N,N,TAP,74,0,0,0,32,28,14,0,0,0,0,0,0
8214,498F,TAMPINES ST 45,10,1995,Y,N,N,N,N,N,TAP,74,0,0,0,32,28,14,0,0,0,0,0,0
8215,498G,TAMPINES ST 45,10,1995,Y,N,N,N,N,N,TAP,74,0,0,0,32,28,14,0,0,0,0,0,0
8216,498H,TAMPINES ST 45,10,1995,Y,N,N,N,N,N,TAP,74,0,0,0,32,28,14,0,0,0,0,0,0
8217,498J,TAMPINES ST 45,10,1995,Y,N,N,N,N,N,TAP,72,0,0,0,30,28,14,0,0,0,0,0,0
8218,498K,TAMPINES ST 45,3,1995,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8219,498L,TAMPINES ST 45,10,1995,Y,N,N,N,N,N,TAP,72,0,0,0,30,28,14,0,0,0,0,0,0
8220,498M,TAMPINES ST 45,10,1995,Y,N,N,Y,N,N,TAP,70,0,0,0,28,28,14,0,0,0,0,0,0
8221,498N,TAMPINES ST 45,1,1995,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8223,499,TAMPINES AVE 9,4,2012,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8224,499A,TAMPINES AVE 9,12,2012,Y,N,N,N,N,N,TAP,119,0,97,22,0,0,0,0,0,0,0,0,0
8225,499B,TAMPINES AVE 9,12,2012,Y,N,N,N,N,N,TAP,108,0,64,44,0,0,0,0,0,0,0,0,0
8226,499C,TAMPINES AVE 9,12,2012,Y,N,N,Y,N,N,TAP,228,0,0,0,0,0,0,0,0,131,97,0,0
8227,499D,TAMPINES AVE 9,1,2013,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8295,501,TAMPINES CTRL 1,4,1989,Y,N,N,N,N,N,TAP,40,0,0,0,34,6,0,0,0,0,0,0,0
8315,502,TAMPINES CTRL 1,4,1989,Y,N,N,N,N,N,TAP,16,0,0,0,10,6,0,0,0,0,0,0,0
8339,503,TAMPINES CTRL 1,9,1989,Y,Y,N,Y,N,N,TAP,117,0,0,0,104,13,0,0,0,0,0,0,0
8358,504,TAMPINES CTRL 1,1,1989,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8382,505,TAMPINES CTRL 1,9,1989,Y,Y,N,N,N,N,TAP,99,0,0,0,83,16,0,0,0,0,0,0,0
8406,506,TAMPINES CTRL 1,3,1989,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8427,507,TAMPINES CTRL 1,4,1989,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8448,508,TAMPINES CTRL 1,4,1989,Y,N,N,N,N,N,TAP,48,0,0,0,45,3,0,0,0,0,0,0,0
8467,509,TAMPINES CTRL 1,4,1989,Y,N,N,N,N,N,TAP,16,0,0,0,10,6,0,0,0,0,0,0,0
8507,510,TAMPINES CTRL 1,4,1990,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8549,512A,TAMPINES CTRL 1,1,1987,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8562,513,TAMPINES CTRL 1,1,1988,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8594,515,TAMPINES CTRL 7,4,2009,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8596,515A,TAMPINES CTRL 7,17,2009,Y,N,N,N,N,N,TAP,62,0,1,0,16,45,0,0,0,0,0,0,0
8598,515B,TAMPINES CTRL 7,17,2009,Y,N,N,N,N,N,TAP,92,0,0,0,1,91,0,0,0,0,0,0,0
8599,515C,TAMPINES CTRL 7,17,2009,Y,N,N,N,N,N,TAP,92,0,0,0,1,91,0,0,0,0,0,0,0
8600,515D,TAMPINES CTRL 7,17,2009,Y,N,N,N,N,N,TAP,62,0,1,0,0,61,0,0,0,0,0,0,0
8608,516,TAMPINES CTRL 7,1,2009,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8618,517,TAMPINES CTRL 7,1,2009,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8634,518,TAMPINES CTRL 7,4,2009,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8638,518A,TAMPINES CTRL 7,17,2009,Y,N,N,N,N,N,TAP,62,0,1,0,16,45,0,0,0,0,0,0,0
8639,518B,TAMPINES CTRL 7,17,2009,Y,N,N,N,N,N,TAP,92,0,0,0,1,91,0,0,0,0,0,0,0
8640,518C,TAMPINES CTRL 7,17,2009,Y,N,N,N,N,N,TAP,92,0,0,0,1,91,0,0,0,0,0,0,0
8641,518D,TAMPINES CTRL 7,17,2009,Y,N,N,N,N,N,TAP,62,0,1,0,0,61,0,0,0,0,0,0,0
8647,519,TAMPINES CTRL 8,8,2014,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8649,519A,TAMPINES CTRL 8,15,2014,Y,Y,N,N,N,N,TAP,126,0,0,14,112,0,0,0,0,0,0,0,0
8651,519B,TAMPINES CTRL 8,16,2014,Y,N,N,N,N,N,TAP,120,0,0,0,64,56,0,0,0,0,0,0,0
8652,519C,TAMPINES CTRL 8,16,2014,Y,N,N,N,N,N,TAP,125,0,0,31,94,0,0,0,0,0,0,0,0
8653,519D,TAMPINES CTRL 8,16,2014,Y,N,N,Y,N,N,TAP,60,0,0,0,0,60,0,0,0,0,0,0,0
8684,520,TAMPINES CTRL 8,1,2014,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8686,520A,TAMPINES CTRL 8,16,2014,Y,N,N,N,N,N,TAP,92,0,0,45,47,0,0,0,0,0,0,0,0
8687,520B,TAMPINES CTRL 8,16,2014,Y,N,N,N,N,N,TAP,62,0,0,0,0,62,0,0,0,0,0,0,0
8688,520C,TAMPINES CTRL 8,16,2014,Y,N,N,N,N,N,TAP,123,0,0,92,31,0,0,0,0,0,0,0,0
8706,522,TAMPINES CTRL 7,6,2014,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8708,522A,TAMPINES CTRL 7,17,2014,Y,N,N,N,N,N,TAP,112,0,32,48,32,0,0,0,0,0,0,0,0
8709,522B,TAMPINES CTRL 7,17,2014,Y,N,N,N,N,N,TAP,96,0,0,0,32,64,0,0,0,0,0,0,0
8710,522C,TAMPINES CTRL 7,17,2014,Y,N,N,N,N,N,TAP,96,0,0,0,32,64,0,0,0,0,0,0,0
8720,523A,TAMPINES CTRL 7,17,2014,Y,N,N,Y,N,N,TAP,96,0,0,0,48,48,0,0,0,0,0,0,0
8722,523B,TAMPINES CTRL 7,17,2014,Y,N,N,N,N,N,TAP,112,0,32,48,32,0,0,0,0,0,0,0,0
8723,523C,TAMPINES CTRL 7,17,2014,Y,N,N,N,N,N,TAP,96,0,0,0,64,32,0,0,0,0,0,0,0
8724,523D,TAMPINES CTRL 7,17,2014,Y,N,N,Y,N,N,TAP,96,0,0,0,64,32,0,0,0,0,0,0,0
8733,524,TAMPINES CTRL 7,1,2015,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
8737,524A,TAMPINES CTRL 7,17,2014,Y,N,N,Y,N,N,TAP,128,0,0,0,48,80,0,0,0,0,0,0,0
8740,524B,TAMPINES CTRL 7,17,2014,Y,N,N,N,N,N,TAP,128,0,32,64,32,0,0,0,0,0,0,0,0
9501,601,TAMPINES AVE 9,2,2018,N,N,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9506,601A,TAMPINES AVE 9,16,2018,Y,N,N,N,N,N,TAP,112,0,0,0,84,28,0,0,0,0,0,0,0
9509,601B,TAMPINES AVE 9,14,2018,Y,Y,N,N,N,N,TAP,96,0,0,72,24,0,0,0,0,0,0,0,0
9511,601C,TAMPINES AVE 9,16,2018,Y,N,N,N,N,N,TAP,112,0,0,0,84,28,0,0,0,0,0,0,0
9513,601D,TAMPINES AVE 9,14,2018,Y,N,N,N,N,N,TAP,96,0,0,48,24,24,0,0,0,0,0,0,0
9527,602A,TAMPINES AVE 9,1,2019,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9529,602B,TAMPINES AVE 9,1,2019,N,Y,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9540,603,TAMPINES AVE 9,1,2019,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9546,603A,TAMPINES AVE 9,16,2018,Y,N,N,N,N,N,TAP,447,0,0,0,0,0,0,0,0,254,193,0,0
9558,604,TAMPINES AVE 9,1,2019,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9563,604A,TAMPINES AVE 9,14,2018,Y,N,N,Y,N,N,TAP,104,0,0,78,26,0,0,0,0,0,0,0,0
9565,604B,TAMPINES AVE 9,16,2018,Y,N,N,N,N,N,TAP,112,0,0,0,70,42,0,0,0,0,0,0,0
9575,605,TAMPINES ST 61,2,2018,N,N,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9578,605A,TAMPINES ST 61,16,2018,Y,N,N,N,N,N,TAP,112,0,0,0,84,28,0,0,0,0,0,0,0
9580,605B,TAMPINES ST 61,14,2018,Y,N,N,Y,N,N,TAP,104,0,0,78,26,0,0,0,0,0,0,0,0
9581,605C,TAMPINES ST 61,16,2018,Y,N,N,Y,N,N,TAP,116,0,0,0,86,30,0,0,0,0,0,0,0
9582,605D,TAMPINES ST 61,14,2018,Y,N,N,N,N,N,TAP,96,0,0,48,24,24,0,0,0,0,0,0,0
9591,606,TAMPINES ST 61,1,2019,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9594,606A,TAMPINES ST 61,15,2018,Y,N,N,N,N,N,TAP,104,0,0,52,26,26,0,0,0,0,0,0,0
9595,606B,TAMPINES ST 61,16,2018,Y,N,N,Y,N,N,TAP,116,0,0,0,86,30,0,0,0,0,0,0,0
9596,606C,TAMPINES ST 61,14,2018,Y,N,N,Y,N,N,TAP,104,0,0,78,26,0,0,0,0,0,0,0,0
9597,606D,TAMPINES ST 61,16,2018,Y,N,N,N,N,N,TAP,112,0,0,0,70,42,0,0,0,0,0,0,0
9617,608,TAMPINES NTH DR 1,1,2021,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9620,608A,TAMPINES NTH DR 1,15,2019,Y,N,N,Y,N,N,TAP,112,0,0,0,56,56,0,0,0,0,0,0,0
9622,608B,TAMPINES NTH DR 1,15,2019,Y,N,N,N,N,N,TAP,111,0,0,0,56,55,0,0,0,0,0,0,0
9623,608C,TAMPINES NTH DR 1,15,2019,Y,N,N,N,N,N,TAP,111,0,0,28,27,56,0,0,0,0,0,0,0
9632,609,TAMPINES NTH DR 1,4,2019,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9637,609A,TAMPINES NTH DR 1,15,2019,Y,N,N,Y,N,N,TAP,108,0,0,0,52,56,0,0,0,0,0,0,0
9639,609B,TAMPINES NTH DR 1,15,2019,Y,N,N,N,N,N,TAP,111,0,0,0,55,56,0,0,0,0,0,0,0
9640,609C,TAMPINES NTH DR 1,15,2019,Y,N,N,N,N,N,TAP,167,0,52,27,28,0,0,0,60,0,0,0,0
9641,609D,TAMPINES NTH DR 1,15,2019,Y,N,N,N,N,N,TAP,165,0,70,25,28,0,0,0,42,0,0,0,0
9666,610,TAMPINES NTH DR 1,2,2020,N,Y,N,Y,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9670,610A,TAMPINES NTH DR 1,15,2019,Y,N,N,N,N,N,TAP,109,0,0,0,53,56,0,0,0,0,0,0,0
9671,610B,TAMPINES NTH DR 1,15,2019,Y,N,N,N,N,N,TAP,111,0,0,0,55,56,0,0,0,0,0,0,0
9672,610C,TAMPINES NTH DR 1,15,2019,Y,N,N,Y,N,N,TAP,111,0,0,0,55,56,0,0,0,0,0,0,0
9681,611,TAMPINES NTH DR 1,1,2021,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9698,612A,TAMPINES NTH DR 1,15,2019,Y,N,N,N,N,N,TAP,112,0,0,28,56,28,0,0,0,0,0,0,0
9700,612B,TAMPINES NTH DR 1,15,2019,Y,N,N,N,N,N,TAP,107,0,0,0,54,53,0,0,0,0,0,0,0
9712,613,TAMPINES NTH DR 1,7,2019,N,N,N,Y,Y,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9721,613A,TAMPINES NTH DR 1,15,2019,Y,N,N,N,N,N,TAP,140,0,0,56,70,14,0,0,0,0,0,0,0
9725,613B,TAMPINES NTH DR 1,15,2019,Y,N,N,N,N,N,TAP,139,0,0,28,83,28,0,0,0,0,0,0,0
9736,614,TAMPINES NTH DR 1,2,2020,N,Y,N,Y,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9741,614A,TAMPINES NTH DR 1,15,2019,Y,N,N,N,N,N,TAP,108,0,0,0,80,28,0,0,0,0,0,0,0
9744,614B,TAMPINES NTH DR 1,15,2019,Y,N,N,N,N,N,TAP,108,0,0,0,52,56,0,0,0,0,0,0,0
9789,618,TAMPINES ST 61,1,2021,N,N,N,N,N,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9793,618A,TAMPINES ST 61,16,2021,Y,N,N,N,N,N,TAP,112,0,0,0,56,56,0,0,0,0,0,0,0
9795,618B,TAMPINES ST 61,15,2021,Y,N,N,N,N,N,TAP,104,0,0,0,52,52,0,0,0,0,0,0,0
9807,619A,TAMPINES ST 61,16,2021,Y,N,N,Y,N,N,TAP,126,0,0,0,84,42,0,0,0,0,0,0,0
9809,619B,TAMPINES ST 61,12,2021,Y,N,N,Y,N,N,TAP,90,0,0,0,60,30,0,0,0,0,0,0,0
9837,620,TAMPINES ST 61,1,2022,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9840,620A,TAMPINES ST 61,16,2021,Y,N,N,N,N,N,TAP,126,0,0,0,84,42,0,0,0,0,0,0,0
9841,620B,TAMPINES ST 61,12,2021,Y,N,N,N,N,N,TAP,90,0,0,0,60,30,0,0,0,0,0,0,0
9853,621A,TAMPINES ST 61,16,2021,Y,N,N,N,N,N,TAP,140,0,0,56,70,14,0,0,0,0,0,0,0
9855,621B,TAMPINES ST 61,16,2021,Y,N,N,N,N,N,TAP,128,0,0,56,62,10,0,0,0,0,0,0,0
9868,622A,TAMPINES AVE 12,15,2021,Y,Y,N,Y,N,N,TAP,104,0,0,0,52,52,0,0,0,0,0,0,0
9872,622B,TAMPINES AVE 12,15,2021,Y,Y,N,N,N,N,TAP,104,0,0,0,52,52,0,0,0,0,0,0,0
9884,623,TAMPINES AVE 12,1,2022,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
9887,623A,TAMPINES AVE 12,15,2021,Y,N,N,Y,N,N,TAP,104,0,0,52,52,0,0,0,0,0,0,0,0
