,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental
5365,321,TAMPINES ST 33,10,1994,Y,Y,N,N,N,N,TAP,72,0,0,0,54,18,0,0,0,0,0,0,0
5381,322,TAMPINES ST 33,10,1994,Y,N,N,N,N,N,TAP,84,0,0,0,66,18,0,0,0,0,0,0,0
5405,323,TAMPINES ST 33,10,1994,Y,Y,N,N,N,N,TAP,84,0,0,0,66,18,0,0,0,0,0,0,0
5431,324,TAMPINES ST 32,10,1993,Y,N,N,N,N,N,TAP,54,0,0,0,0,0,54,0,0,0,0,0,0
5449,325,TAMPINES ST 32,10,1993,Y,N,N,N,N,N,TAP,47,0,0,0,0,0,47,0,0,0,0,0,0
5470,326,TAMPINES ST 32,10,1993,Y,N,N,N,N,N,TAP,47,0,0,0,0,0,47,0,0,0,0,0,0
5492,327,TAMPINES ST 32,10,1993,Y,N,N,N,N,N,TAP,54,0,0,0,0,0,54,0,0,0,0,0,0
5509,328,TAMPINES ST 32,10,1993,Y,Y,N,N,N,N,TAP,54,0,0,0,0,0,54,0,0,0,0,0,0
5522,329,TAMPINES ST 32,10,1994,Y,N,N,N,N,N,TAP,44,0,0,0,0,0,44,0,0,0,0,0,0
5555,330,TAMPINES ST 32,10,1993,Y,N,N,N,N,N,TAP,52,0,0,0,0,0,52,0,0,0,0,0,0
5562,330A,TAMPINES ST 32,5,1993,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
5570,331,TAMPINES ST 32,10,1993,Y,N,N,N,N,N,TAP,52,0,0,0,0,0,52,0,0,0,0,0,0
5577,331A,TAMPINES ST 32,5,1993,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
5589,332,TAMPINES ST 32,10,1994,Y,N,N,N,N,N,TAP,54,0,0,0,0,0,54,0,0,0,0,0,0
5606,333,TAMPINES ST 32,10,1994,Y,Y,N,N,N,N,TAP,52,0,0,0,0,0,52,0,0,0,0,0,0
5628,334,TAMPINES ST 32,10,1993,Y,N,N,N,N,N,TAP,54,0,0,0,0,0,54,0,0,0,0,0,0
5650,335,TAMPINES ST 32,10,1994,Y,N,N,N,N,N,TAP,47,0,0,0,0,0,47,0,0,0,0,0,0
5671,336,TAMPINES ST 32,10,1993,Y,N,N,N,N,N,TAP,47,0,0,0,0,0,47,0,0,0,0,0,0
5690,337,TAMPINES ST 32,10,1993,Y,N,N,N,N,N,TAP,54,0,0,0,0,0,54,0,0,0,0,0,0
5706,338,TAMPINES ST 33,10,1994,Y,Y,N,N,N,N,TAP,99,0,0,0,54,45,0,0,0,0,0,0,0
5724,339,TAMPINES ST 33,10,1994,Y,N,N,N,N,N,TAP,93,0,0,0,66,27,0,0,0,0,0,0,0
5763,340,TAMPINES ST 33,10,1994,Y,Y,N,Y,N,N,TAP,90,0,0,0,63,27,0,0,0,0,0,0,0
5767,340A,TAMPINES ST 33,5,1994,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
5776,341,TAMPINES ST 33,10,1994,Y,N,N,Y,N,N,TAP,90,0,0,0,63,27,0,0,0,0,0,0,0
5786,342,TAMPINES ST 33,10,1994,Y,N,N,N,N,N,TAP,93,0,0,0,66,27,0,0,0,0,0,0,0
5799,343,TAMPINES ST 33,10,1994,Y,Y,N,N,N,N,TAP,99,0,0,0,54,45,0,0,0,0,0,0,0
5818,345,TAMPINES ST 33,10,1994,Y,N,N,Y,N,N,TAP,90,0,0,0,45,45,0,0,0,0,0,0,0
5828,346,TAMPINES ST 33,10,1994,Y,N,N,N,N,N,TAP,81,0,0,0,63,18,0,0,0,0,0,0,0
5838,347,TAMPINES ST 33,10,1994,Y,N,N,N,N,N,TAP,77,0,0,0,59,18,0,0,0,0,0,0,0
5851,348,TAMPINES ST 33,10,1994,Y,N,N,N,N,N,TAP,77,0,0,0,59,18,0,0,0,0,0,0,0
5863,349,TAMPINES ST 33,10,1994,Y,Y,N,N,N,N,TAP,81,0,0,0,27,54,0,0,0,0,0,0,0
5894,350,TAMPINES ST 33,10,1994,Y,N,N,Y,N,N,TAP,81,0,0,0,45,36,0,0,0,0,0,0,0
5912,351,TAMPINES ST 33,10,1994,Y,Y,N,Y,N,N,TAP,108,0,0,0,54,54,0,0,0,0,0,0,0
5919,351A,TAMPINES ST 33,5,1994,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
5933,352,TAMPINES ST 33,10,1994,Y,N,N,N,N,N,TAP,72,0,0,0,45,27,0,0,0,0,0,0,0
5950,353,TAMPINES ST 33,9,1994,Y,N,N,N,N,N,TAP,80,0,0,0,48,32,0,0,0,0,0,0,0
5967,354,TAMPINES ST 33,9,1994,Y,Y,N,N,N,N,TAP,72,0,0,0,48,24,0,0,0,0,0,0,0
5972,354A,TAMPINES ST 33,5,1994,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
5983,355,TAMPINES ST 33,10,1994,Y,N,N,Y,N,N,TAP,72,0,0,0,36,36,0,0,0,0,0,0,0
5995,356,TAMPINES ST 33,10,1994,Y,N,N,N,N,N,TAP,76,0,0,0,0,76,0,0,0,0,0,0,0
6011,357,TAMPINES ST 33,10,1995,Y,Y,N,N,N,N,TAP,72,0,0,0,36,36,0,0,0,0,0,0,0
6027,358,TAMPINES ST 33,9,1994,Y,N,N,Y,N,N,TAP,96,0,0,0,64,32,0,0,0,0,0,0,0
6042,359,TAMPINES ST 34,9,1994,Y,N,N,N,N,N,TAP,115,0,0,0,75,40,0,0,0,0,0,0,0
6047,359A,TAMPINES ST 34,5,1994,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
6068,360,TAMPINES ST 34,9,1994,Y,N,N,N,N,N,TAP,75,0,0,0,35,40,0,0,0,0,0,0,0
6078,361,TAMPINES ST 34,9,1994,Y,Y,N,N,N,N,TAP,96,0,0,0,64,32,0,0,0,0,0,0,0
6082,361A,TAMPINES ST 34,1,1994,N,N,N,N,N,Y,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
6087,362,TAMPINES ST 34,9,1994,Y,N,N,Y,N,N,TAP,80,0,0,0,64,16,0,0,0,0,0,0,0
6098,363,TAMPINES ST 34,10,1994,Y,N,N,N,N,N,TAP,72,0,0,0,54,18,0,0,0,0,0,0,0
6108,364,TAMPINES ST 34,10,1995,Y,N,N,Y,N,N,TAP,117,0,0,0,72,45,0,0,0,0,0,0,0
